OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15:46:20,17483,0,3.646850165,0.020904768,107.4746593,0.402864447,1.854133279,26.91783905,6,1.420000017,1,2.840000033,26.34136009,26.91783905,26.16083336,400.7356262,396.1685791,16.92602539,17.40097809,48.24768829,49.60154724,500.0761719,264.9253235,332.135376,98.14341736,-8.491827011,0.595876932,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833460286,0.000402864,300.0678391,299.4913601,50.33581083,0.305763785,3.561924734,36.29305795,18.89207986,26.62959957,3.502032115,0.020752016,1.707791455,1.79424066,0.012983648,10.54793035,0.271285167,46.90054894,394.4350412,0.00433631
34,15:56:20,18083.49998,0,3.692055509,0.020827329,103.0749468,0.40431673,1.867508524,26.9578743,6,1.420000017,1,2.840000033,26.33936119,26.9578743,26.16062927,400.9139099,396.2915649,16.87475204,17.35147285,48.10360718,49.46255875,500.0426636,265.0391235,332.2398071,98.13607025,-8.491827011,0.595876932,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833404439,0.000404317,300.1078743,299.4893612,50.35743284,0.299463815,3.570313883,36.38125996,19.02978711,26.64861774,3.505956585,0.020675702,1.702805359,1.803151226,0.012935851,10.11537022,0.260098766,46.64066537,394.5365386,0.004364613
Remark=,"""15:56:40 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,16:06:20,18683.99999,0,3.346271613,0.018480895,97.86293066,0.363868409,1.892319219,27.03354454,6,1.420000017,1,2.840000033,26.34040451,27.03354454,26.16007233,401.2105713,397.0220337,16.83276558,17.2618351,47.97783279,49.20079422,500.0411682,265.081604,332.2705078,98.12966156,-8.004400253,0.549587488,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833401947,0.000363868,300.1835445,299.4904045,50.36550413,0.310327944,3.586217255,36.54570084,19.28386574,26.68697453,3.513883332,0.018361411,1.693898036,1.819985296,0.011486557,9.603256265,0.246492442,46.12527583,395.4313764,0.003903274
Remark=,"""16:11:39 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,16:16:20,19283.5,0,2.713980117,0.015717084,112.1870237,0.31306974,1.912453935,27.0863781,6,1.420000017,1,2.840000033,26.34057808,27.0863781,26.16266823,401.3528442,397.9472046,16.80202293,17.17118645,47.88690567,48.93904495,500.0937805,265.0153503,332.36026,98.12390137,-7.344854355,0.501011133,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833489634,0.00031307,300.2363781,299.4905781,50.35291593,0.329367796,3.59735774,36.66138107,19.49019462,26.71347809,3.519369649,0.015630581,1.684903805,1.834465844,0.009776848,11.00822845,0.28191434,45.66742226,396.6571084,0.003124625
37,16:26:20,19883.99998,0,2.724540849,0.01632233,119.7784711,0.326778848,1.922479072,27.13277817,6,1.420000017,1,2.840000033,26.33984375,27.13277817,26.16147614,399.8999634,396.475647,16.78373337,17.16906738,47.83662033,48.93488693,500.0882568,265.0453796,332.1875916,98.12341309,-7.344854355,0.501011133,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833480428,0.000326779,300.2827782,299.4898438,50.3586215,0.315778557,3.607166563,36.76152764,19.59246026,26.73631096,3.524102117,0.016229057,1.684687491,1.839414626,0.0101515,11.7530724,0.302108016,45.53992692,395.1805307,0.003139714
Remark=,"""16:26:39 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:34:18 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:34:31 Coolers: Tblock -> 19.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,16:36:20,20484,0,2.717750213,0.012135183,29.00658006,0.25341022,2.002118741,27.4523983,6,1.420000017,1,2.840000033,22.72966003,27.4523983,21.03627205,399.1505432,395.7698364,16.75031471,17.04913902,59.26371384,60.32096863,500.1396179,264.1080627,330.4256287,98.14284515,-7.100072861,0.468658686,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.83356603,0.00025341,300.6023983,295.87966,50.18053129,-0.176941032,3.675369752,37.44918691,20.40004789,25.09102917,3.196974917,0.01208355,1.673251011,1.523723906,0.007556841,2.846788295,0.073291538,44.23837582,394.4779481,0.003047797
Remark=,"""16:41:39 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,16:46:20,21084,0,2.34047555,0.011450595,62.82228055,0.197028231,1.65253057,25.69400787,6,1.420000017,1,2.840000033,19.8690033,25.69400787,19.11987305,400.2459412,397.3439331,16.69337845,16.92576981,70.3846817,71.36451721,500.0875549,264.4594116,331.9764404,98.14103699,-6.894872665,0.383457422,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833479258,0.000197028,298.8440079,293.0190033,50.24728758,-0.278153109,3.31364317,33.76409372,16.83832391,22.78150558,2.782647092,0.011404613,1.661112601,1.121534492,0.007132,6.165443759,0.158105549,49.03813584,396.2313831,0.002896604
40,16:56:20,21684.49998,0,2.446487646,0.012828915,84.95198531,0.206474156,1.547405748,25.13422966,6,1.420000017,1,2.840000033,19.81764793,25.13422966,19.12374496,400.5224304,397.489563,16.64801216,16.89148331,70.41977692,71.44963837,500.2313538,263.8676147,330.5639648,98.14453888,-6.894872665,0.383457422,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833718923,0.000206474,298.2842297,292.9676479,50.13484617,-0.215181954,3.205212589,32.65808394,15.76660063,22.4759388,2.731513382,0.012771225,1.65780684,1.073706542,0.007987179,8.337573425,0.213721298,50.71837087,396.3266199,0.003130798
Remark=,"""16:56:40 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,17:06:20,22283.99999,0,2.693126278,0.012460827,44.71180743,0.199806716,1.541856943,25.05147552,6,1.420000017,1,2.840000033,19.80387115,25.05147552,19.12158585,400.8349304,397.5088501,16.54986191,16.78553581,70.07222748,71.07007599,500.1474915,264.6711731,332.1890259,98.15545654,-7.346288681,0.374151468,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833579152,0.000199807,298.2014755,292.9538712,50.28752226,-0.20047596,3.189448874,32.49385196,15.70831615,22.42767334,2.723512274,0.012406393,1.647591931,1.075920343,0.007758868,4.388707872,0.11248003,50.65285748,396.2286668,0.003442824
Remark=,"""17:11:40 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,17:16:20,22884,0,2.505827668,0.012124474,60.1754641,0.196137129,1.555322499,25.11629295,6,1.420000017,1,2.840000033,19.7996788,25.11629295,19.12236786,401.1156311,398.0159302,16.54200935,16.77335358,70.0602417,71.04004669,500.1566467,264.8599854,332.5707703,98.15971375,-7.097204208,0.364433527,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833594411,0.000196137,298.266293,292.9496788,50.32339659,-0.207430544,3.201790085,32.61816852,15.84481494,22.45798588,2.728534874,0.012072932,1.646467586,1.082067289,0.007550196,5.906806331,0.151188582,50.40506195,396.8247797,0.003182926
43,17:26:20,23484.49998,0,2.506744586,0.012210766,62.57583066,0.199589215,1.571506527,25.20385933,6,1.420000017,1,2.840000033,19.80465317,25.20385933,19.12224579,401.3996887,398.2973022,16.54267502,16.77807999,70.04531097,71.04206848,500.1776123,263.2850342,329.5529175,98.16513062,-7.097204208,0.364433527,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833629354,0.000199589,298.3538593,292.9546532,50.02415587,-0.223978659,3.21852894,32.78688593,16.00880595,22.50425625,2.736217218,0.01215849,1.647022413,1.089194804,0.007603735,6.14276459,0.157108347,50.14668957,397.1057159,0.003165528
Remark=,"""17:26:40 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,17:36:20,24084.49999,0,1.861177162,0.008116211,24.43400426,0.135110583,1.598222489,25.24883652,6,1.420000017,1,2.840000033,19.79771042,25.24883652,19.12113953,400.1726379,397.8753662,16.43510056,16.59449768,69.61691284,70.292099,500.1413574,264.3502197,331.5217285,98.16107941,-6.308965683,0.298469782,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833568929,0.000135111,298.3988365,292.9477104,50.22654112,-0.194880416,3.227156294,32.87612884,16.28163116,22.52327347,2.739380161,0.008093082,1.628933805,1.110446357,0.005060249,2.398468233,0.061411201,49.36446843,396.9906517,0.002314312
Remark=,"""17:41:41 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,17:46:20,24684,0,1.745083423,0.00770921,29.88247537,0.128771997,1.603574899,25.23337173,6,1.420000017,1,2.840000033,19.79693031,25.23337173,19.12276077,400.8007813,398.6455078,16.35730171,16.50924683,69.29273987,69.93641663,500.0992737,264.1826477,331.5767822,98.16394043,-6.108373642,0.291429758,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833498789,0.000128772,298.3833717,292.9469303,50.19470243,-0.189954236,3.224187621,32.84492867,16.33568184,22.51515102,2.738028845,0.00768834,1.620612722,1.117416123,0.004807083,2.933381532,0.07496002,49.14388075,397.8159787,0.002155775
46,17:56:21,25284.49998,0,1.650859723,0.007741068,50.78400071,0.129933461,1.611217422,25.29026031,6,1.420000017,1,2.840000033,19.8051815,25.29026031,19.12027168,400.8908691,398.8480225,16.3900528,16.54336548,69.39342499,70.04253387,500.0914001,264.1226196,331.7445374,98.16034698,-6.108373642,0.291429758,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833485667,0.000129933,298.4402603,292.9551815,50.1832971,-0.197337063,3.235119918,32.95750287,16.41413739,22.54772091,2.743450959,0.007720025,1.623902496,1.119548463,0.004826902,4.984975131,0.127326696,49.07091873,398.0632828,0.002035084
Remark=,"""17:56:41 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,18:06:21,25884.49999,0,1.720612022,0.010847212,138.3481906,0.137332134,1.21987629,22.82331657,6,1.420000017,1,2.840000033,19.73857498,22.82331657,19.12395477,400.5588684,398.4287415,15.829566,15.99170876,67.3013382,67.99069977,500.0628967,-0.175248966,0.069210835,98.16538239,-6.161840439,0.29795289,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833438161,0.000137332,295.9733166,292.888575,-0.033297303,-0.475509483,2.789708495,28.41845493,12.42674617,21.28094578,2.539351682,0.010805939,1.569832205,0.969519477,0.006757408,13.58100304,0.347234464,55.44939694,397.6108449,0.002399504
Remark=,"""18:11:41 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,18:16:21,26484.5,0,-0.345993409,0.000783177,1092.107859,0.010686883,1.309643949,23.25644493,6,1.420000017,1,2.840000033,19.76750565,23.25644493,19.12280846,400.9879456,401.3979187,15.82038212,15.83300114,67.13690948,67.19046021,500.0869751,-0.091434255,0.105464146,98.15843201,-3.630559921,0.15060544,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833478292,1.06869E-05,296.4064449,292.9175056,-0.017372508,-0.462591612,2.863786515,29.17514529,13.34214415,21.51197529,2.575551109,0.000782961,1.554142566,1.021408544,0.00048937,107.199595,2.72076114,53.22886627,401.5623874,-0.00045863
49,18:26:21,27084.99998,0,-0.439944399,0.00094212,1130.866061,0.012976259,1.322412955,23.18042946,6,1.420000017,1,2.840000033,19.75434875,23.18042946,19.12425232,399.8529663,400.3745117,15.55217457,15.56749916,66.05988312,66.12497711,500.1470947,-0.081468895,0.058224022,98.16923523,-3.630559921,0.15060544,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833578491,1.29763E-05,296.3304295,292.9043488,-0.01547909,-0.455380841,2.850662442,29.0382464,13.47074724,21.46738911,2.568530039,0.000941808,1.528249487,1.040280552,0.000588658,111.0162563,2.824520612,52.56783846,400.5836402,-0.000577331
Remark=,"""18:26:42 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,18:36:21,27684.49999,0,-0.188760707,0.00069838,819.7660548,0.009687497,1.331945826,23.10030365,6,1.420000017,1,2.840000033,19.7463131,23.10030365,19.12241364,400.5464783,400.76828,15.3187418,15.33018589,65.10023499,65.14887238,500.1175842,-0.117808089,0.051632859,98.16840363,-3.783575058,0.152541399,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833529307,9.6875E-06,296.2503036,292.8963131,-0.022383537,-0.444155653,2.836885702,28.89815457,13.56796868,21.42330837,2.561605043,0.000698208,1.504939876,1.056665167,0.000436396,80.47512495,2.045486371,51.99905513,400.8580078,-0.000244859
Remark=,"""18:41:42 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,18:46:21,28284.5,0,-0.4189803,0.000843386,1178.771964,0.011801832,1.343757418,23.10621071,6,1.420000017,1,2.840000033,19.74403763,23.10621071,19.12360764,400.9130249,401.4099426,15.20670795,15.22064972,64.63130951,64.69056702,500.1748657,-0.154143706,0.023069527,98.16545105,-3.583593369,0.148174524,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833624776,1.18018E-05,296.2562107,292.8940376,-0.029287304,-0.44642035,2.837899363,28.9093498,13.68870008,21.42512417,2.561889978,0.000843135,1.494141945,1.067748033,0.000526982,115.7146815,2.936578891,51.5955887,401.6091058,-0.000538273
52,18:56:21,28884.99998,0,-0.506545371,0.00016627,5212.415953,0.002365088,1.365337074,23.223423,6,1.420000017,1,2.840000033,19.76012039,23.223423,19.12325859,401.0214844,401.6280518,15.20512104,15.20791531,64.55362701,64.56548309,500.1213379,-0.114878871,0.021971684,98.15557861,-3.583593369,0.148174524,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833535563,2.36509E-06,296.373423,292.9101204,-0.021826985,-0.454856734,2.8580788,29.11784374,13.90992843,21.4917717,2.572367533,0.00016626,1.492741726,1.079625806,0.000103914,511.6277038,12.97821686,51.14896841,401.8688392,-0.00064472
Remark=,"""18:56:42 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,19:06:21,29484.49999,0,-0.283494147,0.000484649,1317.921718,0.006947887,1.376215906,23.29759789,6,1.420000017,1,2.840000033,19.76300812,23.29759789,19.12198257,401.2550049,401.5917969,15.21831131,15.22652054,64.60366058,64.63851166,500.0782776,-0.166457027,0.065915018,98.16410065,-3.684606552,0.145326853,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833463796,6.94789E-06,296.4475979,292.9130081,-0.031626835,-0.466840445,2.8709136,29.24606431,14.01954377,21.530303,2.578442078,0.000484566,1.494697695,1.083744384,0.000302861,129.3726002,3.281744619,50.98167909,401.7265564,-0.000359772
Remark=,"""19:11:43 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,19:16:21,30084.5,0,-0.392445541,0.00054357,1535.131668,0.007761467,1.370889266,23.23118973,6,1.420000017,1,2.840000033,19.75636292,23.23118973,19.12272263,401.4399414,401.9069824,15.15439606,15.16356564,64.35942841,64.39836884,500.1609802,-0.073263146,0.157094464,98.16497803,-3.553442001,0.145331621,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833601634,7.76147E-06,296.3811897,292.9063629,-0.013919998,-0.459102143,2.859420353,29.12872198,13.96515634,21.49377632,2.572683257,0.000543465,1.488531087,1.084152169,0.000339675,150.6961664,3.819619302,50.98067757,402.0935322,-0.000497574
55,19:26:21,30684.99998,0,-0.368972348,0.000712654,1210.933728,0.010129572,1.364943244,23.14977074,6,1.420000017,1,2.840000033,19.74423218,23.14977074,19.12380791,400.2577209,400.6955566,15.06874466,15.08071518,64.0457077,64.09658813,500.0690613,-0.128354073,0.082390301,98.16781616,-3.553442001,0.145331621,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833448435,1.01296E-05,296.2997707,292.8942322,-0.024387273,-0.451233116,2.84538412,28.98489781,13.90418263,21.44700146,2.565325145,0.000712475,1.480440875,1.08488427,0.000445313,118.8747196,3.022079251,50.96113185,400.8709484,-0.00046906
Remark=,"""19:26:43 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,19:36:21,31284.99999,0,-0.419484097,0.000637198,1433.780427,0.009087257,1.369440026,23.15645599,6,1.420000017,1,2.840000033,19.74694061,23.15645599,19.12468147,400.6967468,401.1956482,15.03626442,15.04700279,63.89531708,63.94094849,500.1048584,-0.165875793,0.003295848,98.16535187,-3.514623642,0.152157068,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833508097,9.08726E-06,296.306456,292.8969406,-0.0315164,-0.451309558,2.846534349,28.9973427,13.95033991,21.4516983,2.566063169,0.000637055,1.477094324,1.088968845,0.000398172,140.7475601,3.573768642,50.81868349,401.3950508,-0.000531089
Remark=,"""19:41:43 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,19:46:21,31884.5,0,-0.444643292,-3.45342E-05,-19973.79295,-0.000497189,1.381824244,23.27912521,6,1.420000017,1,2.840000033,19.75941467,23.27912521,19.12388611,400.7640991,401.2977905,15.13832951,15.13774204,64.27436066,64.27186584,500.1123962,-0.164697081,0.108758718,98.15785217,-3.491674423,0.143404245,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.83352066,-4.97189E-07,296.4291252,292.9094147,-0.031292445,-0.460949027,2.867712489,29.21531417,14.07757212,21.51926994,2.57670141,-3.45346E-05,1.485888246,1.090813165,-2.15841E-05,-1960.584616,-49.77299507,50.72098446,401.5091527,-0.000561699
58,19:56:21,32484.99998,0,-0.509346183,0.000592704,1751.852958,0.008562304,1.386836316,23.33565331,6,1.420000017,1,2.840000033,19.76301193,23.33565331,19.12320518,400.9145203,401.5214233,15.17546463,15.18558025,64.421875,64.46481323,500.1539001,-0.113703646,0.169177532,98.16429138,-3.491674423,0.143404245,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833589834,8.5623E-06,296.4856533,292.9130119,-0.021603692,-0.472616125,2.87751804,29.31328694,14.12770668,21.54933262,2.58144677,0.00059258,1.490681725,1.090765045,0.000370374,171.9694042,4.363037328,50.71798608,401.7635421,-0.00064299
Remark=,"""19:56:44 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,20:06:21,33084.99999,0,-0.494850021,0.00037668,2469.550442,0.005423164,1.38238629,23.24838448,6,1.420000017,1,2.840000033,19.75511169,23.24838448,19.1240654,399.8364868,400.4275208,15.06866932,15.07507706,64.00730896,64.03453064,500.1524353,-0.093780808,0.008788873,98.1756897,-3.512548447,0.149238825,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833587392,5.42316E-06,296.3983845,292.9051117,-0.017818353,-0.460365124,2.862392377,29.15581633,14.08073927,21.50174809,2.573939129,0.00037663,1.480006087,1.093933042,0.000235398,242.4498179,6.167284499,50.61954732,400.6627488,-0.000625191
Remark=,"""20:11:44 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,20:16:21,33685,0,-0.608202359,0.001322645,1119.927551,0.018929813,1.37504654,23.14516449,6,1.420000017,1,2.840000033,19.74270821,23.14516449,19.12465286,400.5975342,401.3180542,14.94424725,14.96661663,63.5357666,63.63087082,500.1433411,-0.150634497,0.034056682,98.18820953,-3.349126816,0.160596132,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833572235,1.89298E-05,296.2951645,292.8927082,-0.028620554,-0.455478245,2.84459183,28.97080865,14.00419202,21.44393635,2.56484362,0.001322029,1.46954529,1.09529833,0.000826323,109.963681,2.790623394,50.5982335,401.6071645,-0.00076627
61,20:26:21,34285.49998,0,-0.622124339,0.001382898,1104.473904,0.019964073,1.386881516,23.25879478,6,1.420000017,1,2.840000033,19.75469017,23.25879478,19.12380791,401.0480652,401.78479,15.021492,15.04508209,63.81938553,63.91960907,500.1349487,0.025786795,0.039545447,98.19232178,-3.349126816,0.160596132,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833558248,1.99641E-05,296.4087948,292.9046902,0.004899491,-0.469145254,2.864193058,29.16921615,14.12413406,21.50674248,2.574726219,0.001382225,1.477311542,1.097414677,0.000863951,108.450857,2.748919151,50.50807125,402.0805182,-0.000781493
Remark=,"""20:26:44 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,20:36:21,34884.99999,0,-0.574474919,-4.3245E-05,-20619.11086,-0.000623883,1.385289584,23.25440598,6,1.420000017,1,2.840000033,19.7563591,23.25440598,19.12309647,401.3159485,402.0054321,15.05393791,15.05320072,63.95215607,63.94902802,500.1357727,-0.113117039,0.091179684,98.19467926,-3.415166855,0.141316652,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833559621,-6.23883E-07,296.404406,292.9063591,-0.021492237,-0.457880184,2.863433801,29.16078368,14.10758296,21.50538254,2.574511879,-4.32456E-05,1.478144217,1.096367662,-2.70285E-05,-2024.686978,-51.29062747,50.52694903,402.27851,-0.000721551
Remark=,"""20:41:45 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,20:46:21,35485,0,-0.608236173,0.000946215,1408.67972,0.013620118,1.382746563,23.25317383,6,1.420000017,1,2.840000033,19.75534821,23.25317383,19.12316513,400.0097046,400.7328796,15.05973625,15.07583046,63.98545837,64.05384064,500.1097412,-0.054507107,0.139515743,98.201828,-3.288183212,0.145010233,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833516235,1.36201E-05,296.4031738,292.9053482,-0.01035635,-0.465174017,2.863220673,29.15649058,14.08066012,21.50426102,2.574335128,0.0009459,1.48047411,1.093861018,0.000591216,138.3349236,3.515258647,50.63083,401.022006,-0.000767925
64,20:56:21,36085.49998,0,-0.603956116,0.000663437,1832.309485,0.009557611,1.383903752,23.24043465,6,1.420000017,1,2.840000033,19.75198936,23.24043465,19.12339401,400.4944763,401.2144775,15.02911472,15.04040909,63.87378693,63.92178726,500.1003723,-0.075609244,0.295519918,98.20970917,-3.288183212,0.145010233,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833500621,9.55761E-06,296.3904346,292.9019894,-0.014365756,-0.461836512,2.861017954,29.13172209,14.091313,21.49621201,2.573066918,0.000663282,1.477114202,1.095952715,0.000414565,179.9505816,4.566907694,50.54807207,401.5015694,-0.000760366
Remark=,"""20:56:45 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,21:06:21,36685.49999,0,-0.521007376,0.000897031,1311.403809,0.012931541,1.385086935,23.23658371,6,1.420000017,1,2.840000033,19.75027466,23.23658371,19.1238327,400.9934082,401.6121826,15.00508308,15.02036285,63.78362274,63.84857559,500.1634521,-0.165286779,0.169183895,98.21769714,-3.449438095,0.150103807,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833605754,1.29315E-05,296.3865837,292.9002747,-0.031404488,-0.463515603,2.860352384,29.12257635,14.1022135,21.49342918,2.572628581,0.000896747,1.47526545,1.097363131,0.000560493,128.8030621,3.265348676,50.49908537,401.8598446,-0.000654716
Remark=,"""21:11:45 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,21:16:21,37285,0,-0.440942477,0.000602573,1550.261288,0.008708436,1.388351261,23.27052116,6,1.420000017,1,2.840000033,19.75572395,23.27052116,19.12234497,401.2709961,401.7958374,15.03663826,15.04692936,63.89600372,63.93973541,500.0865479,-0.151211232,0.085685685,98.21746826,-3.416204453,0.143913507,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.83347758,8.70844E-06,296.4205212,292.905724,-0.028730134,-0.465072616,2.866222568,29.18241142,14.13548206,21.51312256,2.575731994,0.000602445,1.477871307,1.097860687,0.00037654,152.2627389,3.858330884,50.47672227,402.0054403,-0.000553657
67,21:26:22,37885.49998,0,-0.518459177,2.5564E-06,321157.9627,3.7127E-05,1.394790526,23.3073864,6,1.420000017,1,2.840000033,19.76015472,23.3073864,19.12471771,400.3456116,400.9675598,15.04685879,15.04690266,63.9197731,63.91996002,500.1486511,-0.189909533,0.101073869,98.21427155,-3.416204453,0.143913507,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833581085,3.7127E-08,296.4573864,292.9101547,-0.036082811,-0.46494018,2.872611109,29.24840824,14.20150558,21.53377056,2.578989362,2.5564E-06,1.477820583,1.101168779,1.59775E-06,31542.29536,800.9574711,50.34551514,401.2140105,-0.000650578
Remark=,"""21:26:46 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
